credit_id,customer_id,credit_score,total_accounts,active_accounts,overdue_accounts,credit_utilization,record_date
CR0000001,C000644,719,12,0,3,0.79,2026-08-23
CR0000002,C000649,686,5,3,3,0.28,2025-12-19
CR0000003,C000435,310,11,6,0,0.68,2026-04-12
CR0000004,C000394,759,3,10,5,0.25,2025-01-11
CR0000005,C000579,417,2,2,3,0.11,2026-02-09
CR0000006,C000747,849,6,2,5,0.28,2025-08-28
CR0000007,C000289,707,5,8,2,0.31,2025-06-30
CR0000008,C000625,883,5,1,0,0.41,2026-06-05
CR0000009,C000929,506,2,8,3,0.23,2025-01-30
CR0000010,C000201,830,1,7,3,0.15,2025-04-06
CR0000011,C000912,534,1,6,1,0.13,2026-05-16
CR0000012,C000145,369,4,6,4,0.38,2026-03-14
CR0000013,C000201,446,8,9,0,0.65,2025-03-18
CR0000014,C000997,815,13,3,1,0.7,2025-09-27
CR0000015,C000459,344,10,0,1,0.36,2025-02-03
CR0000016,C000723,556,15,2,2,0.47,2026-05-29
CR0000017,C000495,357,7,6,1,0.9,2025-10-30
CR0000018,C000859,817,2,3,1,0.61,2026-07-17
CR0000019,C000339,643,11,7,0,0.83,2024-10-11
CR0000020,C000364,371,14,3,4,0.53,2025-06-09
CR0000021,C000225,870,3,2,4,0.92,2024-11-20
CR0000022,C000977,358,2,10,0,0.42,2025-01-06
CR0000023,C000649,847,1,9,5,0.2,2025-12-22
CR0000024,C000623,629,6,0,1,0.86,2026-09-11
CR0000025,C000785,539,1,6,0,0.56,2026-06-16
CR0000026,C000393,696,13,9,0,0.82,2025-01-13
CR0000027,C000134,336,10,8,0,0.07,2026-06-28
CR0000028,C000185,787,15,9,5,0.4,2025-10-06
CR0000029,C000907,696,8,3,5,0.49,2026-04-23
CR0000030,C000843,556,6,10,3,0.48,2025-08-02
CR0000031,C000843,456,8,8,2,0.25,2026-05-07
CR0000032,C000850,593,11,2,3,0.95,2025-07-10
CR0000033,C000872,464,6,0,3,0.77,2025-03-19
CR0000034,C000559,447,1,7,3,0.69,2026-02-11
CR0000035,C000458,854,14,3,3,0.16,2025-08-23
CR0000036,C000125,661,4,6,3,0.85,2026-04-02
CR0000037,C000689,771,12,7,3,0.91,2026-01-24
CR0000038,C000506,774,6,5,2,0.65,2025-01-23
CR0000039,C000749,436,12,8,1,0.27,2025-02-26
CR0000040,C000861,495,10,3,5,0.64,2025-12-08
CR0000041,C000787,672,15,7,4,0.83,2026-04-09
CR0000042,C000541,718,6,10,2,0.24,2026-07-01
CR0000043,C000336,444,8,1,4,0.64,2025-06-11
CR0000044,C000008,607,15,9,3,0.1,2024-10-28
CR0000045,C000880,522,6,8,1,0.64,2026-01-27
CR0000046,C000595,829,7,2,3,0.07,2025-04-09
CR0000047,C000659,511,7,9,5,0.21,2026-04-25
CR0000048,C000989,876,13,2,5,0.41,2026-06-14
CR0000049,C000951,502,3,6,2,0.47,2024-12-15
CR0000050,C000938,433,13,7,2,0.6,2024-10-26
CR0000051,C000020,843,12,10,0,0.66,2025-01-24
CR0000052,C000170,366,2,0,0,0.88,2025-09-11
CR0000053,C000025,354,6,1,2,0.89,2025-07-22
CR0000054,C000080,665,4,2,1,0.33,2025-09-20
CR0000055,C000935,367,6,9,2,0.58,2025-05-08
CR0000056,C000420,757,8,5,5,0.21,2025-09-20
CR0000057,C000966,610,2,8,1,0.86,2026-04-18
CR0000058,C000050,455,3,6,0,0.53,2026-04-23
CR0000059,C000027,719,3,8,4,0.62,2026-09-02
CR0000060,C000391,587,12,3,0,0.65,2025-11-03
CR0000061,C000818,450,15,7,0,0.73,2025-03-16
CR0000062,C000346,438,15,6,3,0.39,2025-07-07
CR0000063,C000381,474,13,0,4,0.67,2026-02-28
CR0000064,C000882,671,15,7,4,0.56,2026-03-18
CR0000065,C000086,758,15,0,3,0.9,2025-07-15
CR0000066,C000323,880,6,5,0,0.85,2025-09-19
CR0000067,C000222,370,3,2,4,0.32,2025-04-07
CR0000068,C000294,703,15,2,0,0.94,2025-01-06
CR0000069,C000174,501,11,5,2,0.69,2025-11-02
CR0000070,C000967,385,6,9,3,0.06,2026-07-23
CR0000071,C000590,727,3,5,2,0.22,2025-08-19
CR0000072,C000557,586,9,0,3,0.34,2024-09-25
CR0000073,C000447,470,1,10,1,0.68,2025-04-28
CR0000074,C000925,569,8,6,2,0.09,2026-09-06
CR0000075,C000273,769,11,1,2,0.55,2026-05-28
CR0000076,C000071,433,14,9,0,0.71,2025-08-30
CR0000077,C000092,319,5,6,1,0.86,2025-07-09
CR0000078,C000715,689,7,0,5,0.65,2026-02-25
CR0000079,C000417,684,6,5,4,0.82,2025-05-19
CR0000080,C000310,734,7,5,1,0.9,2025-11-01
CR0000081,C000382,567,9,3,3,0.3,2026-02-28
CR0000082,C000189,385,15,7,5,0.13,2024-10-17
CR0000083,C000514,626,14,8,0,0.07,2024-11-30
CR0000084,C000088,431,13,1,1,0.12,2026-08-29
CR0000085,C000802,682,2,2,4,0.77,2025-11-02
CR0000086,C000714,389,14,1,0,0.7,2026-01-24
CR0000087,C000758,649,14,9,0,0.19,2025-06-17
CR0000088,C000781,771,11,5,5,0.15,2026-07-03
CR0000089,C000676,424,1,2,1,0.88,2025-08-17
CR0000090,C000401,383,3,1,5,0.91,2026-01-03
CR0000091,C000149,303,7,10,1,0.24,2026-08-30
CR0000092,C000722,381,7,5,5,0.53,2026-02-04
CR0000093,C000890,787,14,3,5,0.94,2026-07-14
CR0000094,C000274,490,8,4,5,0.66,2025-04-15
CR0000095,C000573,362,8,2,4,0.06,2025-06-03
CR0000096,C000922,480,4,4,1,0.84,2025-04-13
CR0000097,C000936,889,4,1,5,0.74,2025-04-11
CR0000098,C000448,492,3,5,1,0.2,2026-06-01
CR0000099,C000873,603,10,6,4,0.63,2024-12-01
CR0000100,C000447,523,7,4,2,0.71,2025-04-02
CR0000101,C000557,843,1,10,5,0.28,2026-02-06
CR0000102,C000012,465,2,0,0,0.49,2025-12-13
CR0000103,C000613,361,10,6,0,0.66,2025-07-16
CR0000104,C000966,756,1,10,0,0.34,2025-09-09
CR0000105,C000453,670,12,10,4,0.66,2026-05-09
CR0000106,C000890,367,10,4,5,0.81,2026-02-22
CR0000107,C000841,761,6,7,2,0.5,2026-04-20
CR0000108,C000056,800,6,8,5,0.22,2025-03-22
CR0000109,C000950,474,1,5,3,0.47,2026-04-09
CR0000110,C000606,772,6,6,3,0.83,2026-02-19
CR0000111,C000495,775,8,2,1,0.71,2025-12-17
CR0000112,C000594,694,7,0,1,0.76,2026-05-07
CR0000113,C000395,690,14,10,1,0.41,2025-02-14
CR0000114,C000546,314,7,10,1,0.19,2025-10-24
CR0000115,C000491,488,4,1,0,0.4,2025-06-05
CR0000116,C000970,453,5,5,1,0.07,2026-02-24
CR0000117,C000281,701,3,4,4,0.3,2026-03-06
CR0000118,C000640,494,8,9,5,0.5,2025-02-02
CR0000119,C000784,745,14,2,3,0.92,2025-05-17
CR0000120,C000883,361,6,1,0,0.91,2025-11-15
CR0000121,C000169,788,10,4,1,0.26,2024-09-24
CR0000122,C000623,806,13,3,3,0.49,2026-02-20
CR0000123,C000517,615,11,2,2,0.62,2024-09-22
CR0000124,C000202,739,10,1,4,0.17,2026-06-23
CR0000125,C000165,588,6,5,5,0.83,2024-11-07
CR0000126,C000989,678,10,7,0,0.07,2024-09-25
CR0000127,C000773,678,7,3,1,0.9,2025-08-01
CR0000128,C000355,539,15,5,5,0.87,2024-11-30
CR0000129,C000948,787,13,4,4,0.36,2025-10-28
CR0000130,C000778,639,12,3,1,0.92,2024-12-05
CR0000131,C000437,886,15,3,5,0.58,2026-03-02
CR0000132,C000378,542,14,3,3,0.56,2025-08-28
CR0000133,C000699,319,6,8,0,0.4,2025-06-16
CR0000134,C000104,451,10,5,0,0.53,2025-03-05
CR0000135,C000792,773,10,4,0,0.45,2026-04-02
CR0000136,C000008,497,13,4,5,0.18,2025-04-24
CR0000137,C000668,360,8,3,1,0.62,2025-03-30
CR0000138,C000895,635,6,9,3,0.56,2025-02-12
CR0000139,C000210,579,6,7,2,0.59,2024-10-12
CR0000140,C000971,849,4,10,1,0.91,2024-10-04
CR0000141,C000802,423,5,0,5,0.85,2026-01-10
CR0000142,C000193,836,13,8,2,0.27,2024-11-26
CR0000143,C000345,685,7,0,2,0.28,2024-10-30
CR0000144,C000987,447,5,0,0,0.64,2026-09-14
CR0000145,C000542,731,2,5,3,0.75,2025-12-21
CR0000146,C000090,451,8,10,3,0.55,2026-02-08
CR0000147,C000889,754,13,5,0,0.89,2026-08-11
CR0000148,C000028,766,5,3,5,0.6,2026-06-26
CR0000149,C000293,591,3,9,1,0.34,2025-03-03
CR0000150,C000470,317,2,0,2,0.55,2025-12-25
CR0000151,C000742,677,3,5,5,0.39,2026-01-24
CR0000152,C000357,326,11,6,5,0.34,2024-12-19
CR0000153,C000087,482,6,9,0,0.63,2026-03-19
CR0000154,C000277,631,10,9,0,0.84,2024-12-18
CR0000155,C000209,357,12,2,3,0.11,2024-11-22
CR0000156,C000321,369,3,2,0,0.52,2026-07-13
CR0000157,C000615,540,2,5,2,0.35,2025-12-29
CR0000158,C000197,722,6,1,3,0.41,2024-12-25
CR0000159,C000448,363,9,6,5,0.76,2025-07-05
CR0000160,C000176,458,9,1,1,0.45,2026-02-07
CR0000161,C000081,418,13,4,1,0.27,2026-05-02
CR0000162,C000705,871,1,0,5,0.81,2026-08-15
CR0000163,C000127,530,8,0,0,0.25,2026-02-01
CR0000164,C000640,538,3,2,4,0.34,2025-11-29
CR0000165,C000616,696,13,10,5,0.41,2026-06-01
CR0000166,C000307,822,13,4,3,0.07,2025-02-06
CR0000167,C000221,724,9,1,0,0.23,2026-08-12
CR0000168,C000438,336,4,3,4,0.49,2024-12-11
CR0000169,C000516,657,12,1,4,0.84,2026-03-10
CR0000170,C000267,821,15,2,3,0.24,2025-02-06
CR0000171,C000650,849,1,10,5,0.61,2025-03-31
CR0000172,C000084,572,9,5,4,0.4,2025-05-02
CR0000173,C000965,506,13,9,2,0.35,2025-09-13
CR0000174,C000645,634,15,4,3,0.16,2026-02-11
CR0000175,C000184,592,8,0,3,0.59,2026-09-13
CR0000176,C000615,824,13,6,1,0.22,2024-11-13
CR0000177,C000992,342,7,1,5,0.89,2026-01-25
CR0000178,C000843,510,4,9,5,0.72,2025-09-03
CR0000179,C000514,519,15,9,2,0.37,2026-09-02
CR0000180,C000119,355,11,10,1,0.56,2025-04-18
CR0000181,C000127,558,4,8,0,0.33,2026-05-06
CR0000182,C000427,521,14,2,2,0.24,2025-08-13
CR0000183,C000080,697,12,5,3,0.94,2026-03-07
CR0000184,C000183,469,15,7,3,0.55,2026-08-18
CR0000185,C000824,592,13,10,1,0.12,2026-02-16
CR0000186,C000408,409,15,0,0,0.61,2026-05-06
CR0000187,C000042,311,5,0,2,0.45,2026-05-07
CR0000188,C000059,881,3,1,0,0.38,2025-05-25
CR0000189,C000461,495,7,5,0,0.3,2025-04-03
CR0000190,C000960,322,5,0,0,0.32,2025-01-19
CR0000191,C000578,569,8,3,0,0.88,2026-05-15
CR0000192,C000692,331,15,7,1,0.06,2024-11-12
CR0000193,C000071,388,12,3,3,0.83,2025-04-19
CR0000194,C000480,893,12,8,2,0.29,2026-05-12
CR0000195,C000328,876,8,1,5,0.67,2024-11-03
CR0000196,C000150,520,2,6,5,0.39,2025-07-10
CR0000197,C000645,338,8,6,3,0.42,2025-07-14
CR0000198,C000330,313,10,0,5,0.11,2025-06-01
CR0000199,C000311,587,12,4,5,0.48,2024-11-01
CR0000200,C000040,573,1,10,2,0.92,2025-04-04
CR0000201,C000545,492,4,7,0,0.95,2026-06-09
CR0000202,C000661,345,14,9,3,0.55,2025-04-09
CR0000203,C000853,800,13,3,5,0.81,2025-02-01
CR0000204,C000465,348,5,5,0,0.59,2025-08-24
CR0000205,C000760,767,14,7,4,0.2,2024-11-08
CR0000206,C000925,680,12,8,4,0.18,2025-10-02
CR0000207,C000946,655,7,2,4,0.41,2026-09-07
CR0000208,C000166,778,6,4,1,0.78,2025-02-18
CR0000209,C000708,806,11,8,3,0.37,2026-01-03
CR0000210,C000753,742,2,9,2,0.85,2025-07-17
CR0000211,C000910,640,15,5,5,0.47,2025-02-01
CR0000212,C000881,852,14,10,1,0.85,2026-01-30
CR0000213,C000257,651,9,10,1,0.59,2025-10-03
CR0000214,C000370,853,11,2,4,0.18,2024-12-09
CR0000215,C000882,510,14,6,0,0.79,2025-01-05
CR0000216,C000023,414,9,8,0,0.52,2025-11-09
CR0000217,C000014,889,1,4,4,0.65,2026-05-06
CR0000218,C000017,468,12,3,5,0.69,2025-08-16
CR0000219,C000818,642,8,1,2,0.71,2025-03-04
CR0000220,C000405,682,9,6,4,0.64,2026-01-05
CR0000221,C000727,702,4,9,2,0.72,2026-01-28
CR0000222,C000922,408,4,10,5,0.46,2024-12-07
CR0000223,C000106,492,12,0,4,0.77,2026-08-25
CR0000224,C000071,807,3,1,5,0.91,2025-08-24
CR0000225,C000325,547,13,6,2,0.79,2026-03-25
CR0000226,C000382,854,11,1,1,0.07,2025-04-05
CR0000227,C000186,331,5,1,1,0.22,2024-12-05
CR0000228,C000113,373,2,4,3,0.91,2024-10-13
CR0000229,C000579,732,6,10,3,0.06,2024-11-11
CR0000230,C000880,607,6,6,2,0.24,2024-11-09
CR0000231,C000170,738,10,9,3,0.62,2025-12-03
CR0000232,C000042,342,11,7,0,0.5,2026-04-04
CR0000233,C000041,659,1,4,5,0.48,2025-03-29
CR0000234,C000504,692,13,8,0,0.43,2026-05-12
CR0000235,C000193,659,11,7,0,0.39,2025-08-28
CR0000236,C000089,799,13,1,3,0.28,2024-09-30
CR0000237,C000710,394,2,3,5,0.8,2026-08-13
CR0000238,C000320,396,8,6,5,0.35,2025-10-07
CR0000239,C000903,780,1,5,2,0.55,2025-01-09
CR0000240,C000270,762,4,9,3,0.14,2026-02-05
