interaction_id,customer_id,interaction_date,channel,interaction_type,interaction_outcome
I0000001,C000990,2026-03-20,SMS,GENERAL_QUERY,ESCALATED
I0000002,C000576,2025-12-26,CALL,COLLECTION,RESOLVED
I0000003,C000152,2025-02-23,EMAIL,PAYMENT_REMINDER,ESCALATED
I0000004,C000068,2026-07-21,APP,GENERAL_QUERY,RESOLVED
I0000005,C000671,2025-02-21,BRANCH,LOAN_QUERY,PENDING
I0000006,C000016,2026-03-31,APP,COLLECTION,RESOLVED
I0000007,C000135,2025-03-18,APP,COMPLAINT,ESCALATED
I0000008,C000132,2025-06-09,SMS,LOAN_QUERY,PENDING
I0000009,C000077,2026-03-29,CALL,COLLECTION,RESOLVED
I0000010,C000854,2025-08-06,SMS,COMPLAINT,PENDING
I0000011,C000729,2024-12-27,APP,PAYMENT_REMINDER,RESOLVED
I0000012,C000889,2025-02-18,APP,COLLECTION,ESCALATED
I0000013,C000058,2024-10-29,SMS,PAYMENT_REMINDER,RESOLVED
I0000014,C000313,2026-09-10,CALL,GENERAL_QUERY,PENDING
I0000015,C000619,2025-02-10,SMS,GENERAL_QUERY,PENDING
I0000016,C000248,2025-12-29,BRANCH,LOAN_QUERY,PENDING
I0000017,C000759,2025-09-14,SMS,PAYMENT_REMINDER,ESCALATED
I0000018,C000011,2025-05-07,EMAIL,GENERAL_QUERY,RESOLVED
I0000019,C000542,2025-04-08,SMS,GENERAL_QUERY,RESOLVED
I0000020,C000790,2026-07-08,EMAIL,LOAN_QUERY,PENDING
I0000021,C000140,2024-10-02,CALL,LOAN_QUERY,PENDING
I0000022,C000240,2025-10-11,CALL,GENERAL_QUERY,ESCALATED
I0000023,C000539,2026-08-22,EMAIL,PAYMENT_REMINDER,ESCALATED
I0000024,C000538,2025-10-14,EMAIL,PAYMENT_REMINDER,RESOLVED
I0000025,C000152,2026-08-16,SMS,COLLECTION,RESOLVED
I0000026,C000767,2024-10-27,EMAIL,COLLECTION,ESCALATED
I0000027,C000213,2026-04-30,BRANCH,COLLECTION,ESCALATED
I0000028,C000850,2026-05-06,SMS,PAYMENT_REMINDER,ESCALATED
I0000029,C000271,2026-06-30,BRANCH,LOAN_QUERY,ESCALATED
I0000030,C000881,2025-08-17,SMS,COMPLAINT,RESOLVED
