loan_id,customer_id,product_id,branch_id,application_date,approval_date,disbursement_date,loan_amount,interest_rate,tenure_months,loan_status
L0000001,C000522,LP003,BR010,2023-11-28,2023-12-05,2023-12-10,4618372,8.5,51,ACTIVE
L0000002,C000185,LP002,BR005,2022-06-23,2022-06-29,2022-06-30,996754,10.5,23,ACTIVE
L0000003,C000142,LP005,BR001,2024-02-18,2024-02-28,2024-03-03,229374,12.0,15,ACTIVE
L0000004,C000078,LP001,BR008,2021-12-10,2021-12-14,2021-12-16,384595,14.5,30,ACTIVE
L0000005,C000773,LP003,BR002,2024-12-30,2025-01-07,2025-01-08,3086655,8.5,212,ACTIVE
L0000006,C000374,LP004,BR002,2022-02-17,2022-02-25,2022-03-01,1976694,16.0,96,ACTIVE
L0000007,C000458,LP002,BR010,2023-02-04,2023-02-06,2023-02-11,912703,10.5,35,ACTIVE
L0000008,C000751,LP002,BR006,2026-07-29,2026-08-05,2026-08-08,491292,10.5,69,ACTIVE
L0000009,C000223,LP005,BR001,2023-07-13,2023-07-18,2023-07-22,507648,12.0,20,CLOSED
L0000010,C000351,LP001,BR010,2023-08-04,2023-08-09,2023-08-14,82316,14.5,21,ACTIVE
L0000011,C000823,LP003,BR004,2023-08-16,2023-08-18,2023-08-21,3972771,8.5,205,DEFAULT
L0000012,C000837,LP002,BR005,2023-06-20,2023-06-24,2023-06-29,227892,10.5,61,DEFAULT
L0000013,C000321,LP002,BR003,2023-12-31,2024-01-07,2024-01-12,1095778,10.5,42,ACTIVE
L0000014,C000344,LP004,BR007,2025-03-11,2025-03-16,2025-03-17,927964,16.0,103,ACTIVE
L0000015,C000554,LP003,BR005,2026-01-27,2026-02-05,2026-02-10,4835378,8.5,216,DEFAULT
L0000016,C000609,LP001,BR001,2021-11-17,2021-11-27,2021-11-29,113062,14.5,60,ACTIVE
L0000017,C000489,LP002,BR005,2021-10-13,2021-10-16,2021-10-18,544365,10.5,36,CLOSED
L0000018,C000442,LP001,BR010,2025-09-27,2025-09-28,2025-10-02,91087,14.5,55,ACTIVE
L0000019,C000281,LP003,BR006,2022-11-01,2022-11-05,2022-11-07,2663307,8.5,93,ACTIVE
L0000020,C000562,LP003,BR003,2023-03-08,2023-03-10,2023-03-14,3833255,8.5,153,ACTIVE
L0000021,C000315,LP003,BR004,2021-10-12,2021-10-17,2021-10-22,4343300,8.5,235,ACTIVE
L0000022,C000409,LP002,BR008,2023-08-12,2023-08-22,2023-08-27,1195891,10.5,65,ACTIVE
L0000023,C000404,LP004,BR009,2023-11-09,2023-11-16,2023-11-18,410797,16.0,84,DEFAULT
L0000024,C000488,LP002,BR010,2024-04-22,2024-05-02,2024-05-03,321532,10.5,84,ACTIVE
L0000025,C000771,LP002,BR008,2024-01-19,2024-01-24,2024-01-29,821145,10.5,64,ACTIVE
L0000026,C000540,LP004,BR005,2025-04-24,2025-05-01,2025-05-05,1299619,16.0,89,ACTIVE
L0000027,C000589,LP004,BR001,2024-11-28,2024-11-29,2024-12-01,677585,16.0,63,CLOSED
L0000028,C000506,LP004,BR002,2024-09-03,2024-09-13,2024-09-18,1527768,16.0,100,ACTIVE
L0000029,C000622,LP003,BR001,2025-08-12,2025-08-13,2025-08-17,3280773,8.5,188,CLOSED
L0000030,C000598,LP003,BR009,2023-11-07,2023-11-08,2023-11-12,2753048,8.5,107,ACTIVE
