repayment_id,loan_id,customer_id,due_date,payment_date,due_amount,paid_amount,payment_status,dpd
R00000001,L0000107,C000087,2024-12-28,2025-02-26,2843,2843,LATE,60
R00000002,L0000478,C000323,2024-01-25,2024-01-25,5815,5815,ON_TIME,0
R00000003,L0002487,C000745,2023-11-13,2023-11-13,4471,4471,ON_TIME,0
R00000004,L0000314,C000311,2025-12-29,2026-01-03,36493,36493,LATE,5
R00000005,L0002357,C000557,2025-02-17,2025-03-19,40577,40577,LATE,30
R00000006,L0000406,C000321,2025-05-14,2025-05-14,38244,38244,ON_TIME,0
R00000007,L0002436,C000365,2024-03-30,2024-03-30,9468,9468,ON_TIME,0
R00000008,L0001968,C000207,2025-12-03,2025-12-18,22297,22297,LATE,15
R00000009,L0001190,C000462,2026-01-04,2026-02-03,36845,36845,LATE,30
R00000010,L0000892,C000195,2024-12-01,2025-03-01,13369,6684,OVERDUE,90
R00000011,L0001903,C000002,2024-08-14,2024-08-19,17115,17115,LATE,5
R00000012,L0000575,C000769,2024-02-08,2024-02-08,20263,20263,ON_TIME,0
R00000013,L0002413,C000711,2025-11-19,2025-11-19,37635,37635,ON_TIME,0
R00000014,L0001875,C000512,2026-01-21,2026-03-22,41330,41330,LATE,60
R00000015,L0000099,C000953,2025-01-14,2025-01-29,42959,42959,LATE,15
R00000016,L0001989,C000335,2025-12-04,2025-12-09,42739,42739,LATE,5
R00000017,L0001827,C000581,2025-02-27,2025-03-14,5235,5235,LATE,15
R00000018,L0002075,C000274,2026-05-31,2026-07-30,48286,48286,LATE,60
R00000019,L0000412,C000618,2024-05-22,2024-05-22,31064,31064,ON_TIME,0
R00000020,L0001977,C000201,2023-10-23,2023-10-23,7801,7801,ON_TIME,0
R00000021,L0002480,C000902,2023-10-30,2023-10-30,29360,29360,ON_TIME,0
R00000022,L0001762,C000176,2026-01-02,2026-01-02,36982,36982,ON_TIME,0
R00000023,L0000859,C000444,2026-03-25,2026-05-24,3620,3620,LATE,60
R00000024,L0001730,C000025,2024-10-22,2024-10-22,7396,7396,ON_TIME,0
R00000025,L0000818,C000827,2024-09-25,2024-09-25,10985,10985,ON_TIME,0
R00000026,L0000234,C000014,2025-01-01,2025-01-06,30120,30120,LATE,5
R00000027,L0001675,C000109,2025-07-04,2025-07-04,24858,24858,ON_TIME,0
R00000028,L0001753,C000687,2025-11-09,2025-12-09,39491,39491,LATE,30
R00000029,L0001676,C000620,2024-03-06,2024-03-06,32072,32072,ON_TIME,0
R00000030,L0001892,C000402,2023-12-19,2024-02-17,18805,18805,LATE,60
R00000031,L0001590,C000426,2025-04-18,2025-05-03,2245,2245,LATE,15
